Label (Grouping),Category,State,Estimate,Margin of Error,Percent,Percent Margin of Error,Year
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"215,078","±2,820",14.3%,±0.2,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"80,411","±1,795",5.3%,±0.1,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"77,015","±1,997",5.1%,±0.1,2021
        Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"56,956",±382,(X),(X),2021
        Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"78,040",±529,(X),(X),2021
        With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"1,148,121","±4,060",76.3%,±0.2,2021
            Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"78,695",±529,(X),(X),2021
        With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"482,144","±2,952",32.1%,±0.2,2021
            Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"20,450",±115,(X),(X),2021
        With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"318,607","±3,011",21.2%,±0.2,2021
            Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"25,080",±416,(X),(X),2021
        With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"80,332","±1,825",5.3%,±0.1,2021
            Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"10,420",±121,(X),(X),2021
        With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"43,863","±1,294",2.9%,±0.1,2021
            Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"2,531",±123,(X),(X),2021
With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"189,183","±2,620",12.6%,±0.2,2021
    Families,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"979,479","±4,214","979,479",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"39,592","±1,378",4.0%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"24,835","±1,171",2.5%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"59,347","±1,438",6.1%,±0.1,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"82,043","±1,822",8.4%,±0.2,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"121,441","±2,126",12.4%,±0.2,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"188,296","±2,476",19.2%,±0.3,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"145,206","±2,600",14.8%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"180,447","±2,402",18.4%,±0.2,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"70,257","±1,680",7.2%,±0.2,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"68,015","±1,879",6.9%,±0.2,2021
        Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"71,155",±498,(X),(X),2021
        Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"92,549",±755,(X),(X),2021
    Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"30,976",±253,(X),(X),2021
    Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"524,389","±4,430","524,389",(X),2021
        Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"34,063",±392,(X),(X),2021
        Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"47,602",±618,(X),(X),2021
    Median earnings for workers (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"34,127",±199,(X),(X),2021
"    Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"51,568",±376,(X),(X),2021
"    Median earnings for female full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oklahoma,"38,752",±240,(X),(X),2021
HEALTH INSURANCE COVERAGE,Header,Oklahoma,,,,,2021
    Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE,Oklahoma,"3,869,212",±899,"3,869,212",(X),2021
        With health insurance coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"3,315,089","±6,422",85.7%,±0.2,2021
            With private health insurance,HEALTH INSURANCE COVERAGE,Oklahoma,"2,468,080","±8,385",63.8%,±0.2,2021
            With public coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"1,343,419","±6,130",34.7%,±0.2,2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"554,123","±6,538",14.3%,±0.2,2021
Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE,Oklahoma,"1,013,280","±1,201","1,013,280",(X),2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"84,897","±2,728",8.4%,±0.3,2021
Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE,Oklahoma,"2,255,673","±1,639","2,255,673",(X),2021
        In labor force:,HEALTH INSURANCE COVERAGE,Oklahoma,"1,710,889","±3,952","1,710,889",(X),2021
            Employed:,HEALTH INSURANCE COVERAGE,Oklahoma,"1,627,798","±4,039","1,627,798",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"1,346,859","±4,917",82.7%,±0.2,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Oklahoma,"1,283,458","±5,257",78.8%,±0.3,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"114,497","±2,270",7.0%,±0.1,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"280,939","±4,085",17.3%,±0.2,2021
            Unemployed:,HEALTH INSURANCE COVERAGE,Oklahoma,"83,091","±2,129","83,091",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"41,779","±1,355",50.3%,±1.1,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Oklahoma,"27,738","±1,166",33.4%,±1.2,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"16,120",±908,19.4%,±1.0,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"41,312","±1,493",49.7%,±1.1,2021
        Not in labor force:,HEALTH INSURANCE COVERAGE,Oklahoma,"544,784","±3,988","544,784",(X),2021
            With health insurance coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"402,293","±4,190",73.8%,±0.4,2021
                With private health insurance,HEALTH INSURANCE COVERAGE,Oklahoma,"247,863","±3,583",45.5%,±0.5,2021
                With public coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"188,773","±2,806",34.7%,±0.4,2021
            No health insurance coverage,HEALTH INSURANCE COVERAGE,Oklahoma,"142,491","±2,376",26.2%,±0.4,2021
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Header,Oklahoma,,,,,2021
    All families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),11.0%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),17.2%,±0.4,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),17.9%,±0.8,2021
        Married couple families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),5.6%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),7.9%,±0.3,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),6.0%,±0.6,2021
"        Families with female householder, no spouse present",PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),30.4%,±0.9,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),39.4%,±1.0,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),47.5%,±2.3,2021
    All people,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),15.2%,±0.2,2021
Under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),20.7%,±0.4,2021
Related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),20.4%,±0.4,2021
Related children of the householder under 5 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),23.8%,±0.6,2021
Related children of the householder 5 to 17 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),19.2%,±0.5,2021
18 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),13.4%,±0.2,2021
18 to 64 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),14.6%,±0.2,2021
65 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),9.1%,±0.3,2021
        People in families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),12.4%,±0.2,2021
Unrelated individuals 15 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Oklahoma,(X),(X),27.0%,±0.4,2021
EMPLOYMENT STATUS,Header,Oregon,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,Oregon,"3,434,262","±1,459","3,434,262",(X),2021
        In labor force,EMPLOYMENT STATUS,Oregon,"2,150,814","±6,797",62.6%,±0.2,2021
            Civilian labor force,EMPLOYMENT STATUS,Oregon,"2,146,693","±6,767",62.5%,±0.2,2021
                Employed,EMPLOYMENT STATUS,Oregon,"2,026,107","±6,717",59.0%,±0.2,2021
                Unemployed,EMPLOYMENT STATUS,Oregon,"120,586","±2,987",3.5%,±0.1,2021
            Armed Forces,EMPLOYMENT STATUS,Oregon,"4,121",±586,0.1%,±0.1,2021
        Not in labor force,EMPLOYMENT STATUS,Oregon,"1,283,448","±6,751",37.4%,±0.2,2021
    Civilian labor force,EMPLOYMENT STATUS,Oregon,"2,146,693","±6,767","2,146,693",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,Oregon,(X),(X),5.6%,±0.1,2021
Females 16 years and over,EMPLOYMENT STATUS,Oregon,"1,734,506","±1,270","1,734,506",(X),2021
        In labor force,EMPLOYMENT STATUS,Oregon,"1,013,939","±5,033",58.5%,±0.3,2021
            Civilian labor force,EMPLOYMENT STATUS,Oregon,"1,013,303","±5,049",58.4%,±0.3,2021
                Employed,EMPLOYMENT STATUS,Oregon,"957,857","±5,188",55.2%,±0.3,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,Oregon,"258,667","±1,917","258,667",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Oregon,"167,185","±2,960",64.6%,±1.1,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,Oregon,"566,873","±2,638","566,873",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Oregon,"402,907","±4,383",71.1%,±0.7,2021
COMMUTING TO WORK,Header,Oregon,,,,,2021
Workers 16 years and over,COMMUTING TO WORK,Oregon,"1,988,071","±6,960","1,988,071",(X),2021
"        Car, truck, or van -- drove alone",COMMUTING TO WORK,Oregon,"1,365,422","±7,805",68.7%,±0.3,2021
"        Car, truck, or van -- carpooled",COMMUTING TO WORK,Oregon,"178,053","±3,549",9.0%,±0.2,2021
        Public transportation (excluding taxicab),COMMUTING TO WORK,Oregon,"69,095","±2,562",3.5%,±0.1,2021
        Walked,COMMUTING TO WORK,Oregon,"68,179","±2,041",3.4%,±0.1,2021
        Other means,COMMUTING TO WORK,Oregon,"58,623","±2,374",2.9%,±0.1,2021
        Worked from home,COMMUTING TO WORK,Oregon,"248,699","±4,512",12.5%,±0.2,2021
        Mean travel time to work (minutes),COMMUTING TO WORK,Oregon,23.7,±0.1,(X),(X),2021
OCCUPATION,Header,Oregon,,,,,2021
Civilian employed population 16 years and over,OCCUPATION,Oregon,"2,026,107","±6,717","2,026,107",(X),2021
"        Management, business, science, and arts occupations",OCCUPATION,Oregon,"830,571","±7,798",41.0%,±0.4,2021
        Service occupations,OCCUPATION,Oregon,"352,631","±4,866",17.4%,±0.2,2021
        Sales and office occupations,OCCUPATION,Oregon,"413,446","±4,799",20.4%,±0.2,2021
"        Natural resources, construction, and maintenance occupations",OCCUPATION,Oregon,"179,832","±3,884",8.9%,±0.2,2021
"        Production, transportation, and material moving occupations",OCCUPATION,Oregon,"249,627","±4,525",12.3%,±0.2,2021
INDUSTRY,Header,Oregon,,,,,2021
Civilian employed population 16 years and over,INDUSTRY,Oregon,"2,026,107","±6,717","2,026,107",(X),2021
"        Agriculture, forestry, fishing and hunting, and mining",INDUSTRY,Oregon,"58,655","±2,179",2.9%,±0.1,2021
        Construction,INDUSTRY,Oregon,"134,188","±3,193",6.6%,±0.2,2021
        Manufacturing,INDUSTRY,Oregon,"223,581","±3,610",11.0%,±0.2,2021
        Wholesale trade,INDUSTRY,Oregon,"52,364","±2,164",2.6%,±0.1,2021
        Retail trade,INDUSTRY,Oregon,"235,721","±3,941",11.6%,±0.2,2021
"        Transportation and warehousing, and utilities",INDUSTRY,Oregon,"92,866","±2,555",4.6%,±0.1,2021
        Information,INDUSTRY,Oregon,"31,799","±1,385",1.6%,±0.1,2021
"        Finance and insurance, and real estate and rental and leasing",INDUSTRY,Oregon,"111,713","±3,174",5.5%,±0.2,2021
"        Professional, scientific, and management, and administrative and waste management services",INDUSTRY,Oregon,"233,506","±4,238",11.5%,±0.2,2021
"        Educational services, and health care and social assistance",INDUSTRY,Oregon,"473,778","±5,879",23.4%,±0.3,2021
"        Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY,Oregon,"190,227","±4,063",9.4%,±0.2,2021
"        Other services, except public administration",INDUSTRY,Oregon,"92,968","±2,649",4.6%,±0.1,2021
        Public administration,INDUSTRY,Oregon,"94,741","±2,253",4.7%,±0.1,2021
CLASS OF WORKER,Header,Oregon,,,,,2021
Civilian employed population 16 years and over,CLASS OF WORKER,Oregon,"2,026,107","±6,717","2,026,107",(X),2021
        Private wage and salary workers,CLASS OF WORKER,Oregon,"1,595,158","±7,684",78.7%,±0.3,2021
        Government workers,CLASS OF WORKER,Oregon,"282,387","±4,869",13.9%,±0.2,2021
        Self-employed in own not incorporated business workers,CLASS OF WORKER,Oregon,"144,394","±3,333",7.1%,±0.2,2021
        Unpaid family workers,CLASS OF WORKER,Oregon,"4,168",±495,0.2%,±0.1,2021
INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Header,Oregon,,,,,2021
    Total households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"1,658,091","±3,326","1,658,091",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"84,552","±2,462",5.1%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"60,961","±2,173",3.7%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"123,595","±2,496",7.5%,±0.2,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"130,283","±2,651",7.9%,±0.2,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"192,949","±2,731",11.6%,±0.2,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"289,316","±3,868",17.4%,±0.2,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"223,511","±3,527",13.5%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"282,873","±4,192",17.1%,±0.2,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"130,812","±2,777",7.9%,±0.2,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"139,239","±2,816",8.4%,±0.2,2021
        Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"70,084",±505,(X),(X),2021
        Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"94,034",±612,(X),(X),2021
        With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"1,262,980","±4,363",76.2%,±0.2,2021
            Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"94,630",±730,(X),(X),2021
        With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"544,992","±3,330",32.9%,±0.2,2021
            Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"21,628",±132,(X),(X),2021
        With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"382,344","±4,057",23.1%,±0.2,2021
            Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"30,236",±532,(X),(X),2021
        With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"77,280","±1,849",4.7%,±0.1,2021
            Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"10,414",±157,(X),(X),2021
        With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"64,740","±1,949",3.9%,±0.1,2021
            Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"3,961",±149,(X),(X),2021
With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"244,344","±3,492",14.7%,±0.2,2021
    Families,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"1,037,580","±4,953","1,037,580",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"31,124","±1,661",3.0%,±0.2,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"16,890","±1,068",1.6%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"47,985","±1,985",4.6%,±0.2,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"63,595","±1,974",6.1%,±0.2,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"107,564","±2,304",10.4%,±0.2,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"178,820","±3,307",17.2%,±0.3,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"154,999","±2,769",14.9%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"216,459","±3,420",20.9%,±0.3,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"103,825","±2,340",10.0%,±0.2,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"116,319","±2,695",11.2%,±0.2,2021
        Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"86,066",±629,(X),(X),2021
        Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"110,885",±863,(X),(X),2021
    Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"37,816",±232,(X),(X),2021
    Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"620,511","±4,517","620,511",(X),2021
        Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"43,008",±526,(X),(X),2021
        Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"60,676",±752,(X),(X),2021
    Median earnings for workers (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"37,818",±243,(X),(X),2021
"    Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"58,539",±597,(X),(X),2021
"    Median earnings for female full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Oregon,"47,931",±548,(X),(X),2021
HEALTH INSURANCE COVERAGE,Header,Oregon,,,,,2021
    Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE,Oregon,"4,167,351",±586,"4,167,351",(X),2021
        With health insurance coverage,HEALTH INSURANCE COVERAGE,Oregon,"3,889,071","±6,003",93.3%,±0.1,2021
            With private health insurance,HEALTH INSURANCE COVERAGE,Oregon,"2,835,679","±14,776",68.0%,±0.4,2021
            With public coverage,HEALTH INSURANCE COVERAGE,Oregon,"1,637,274","±11,171",39.3%,±0.3,2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Oregon,"278,280","±6,008",6.7%,±0.1,2021
Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE,Oregon,"925,154","±1,556","925,154",(X),2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Oregon,"32,569","±2,093",3.5%,±0.2,2021
Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE,Oregon,"2,509,144","±1,927","2,509,144",(X),2021
        In labor force:,HEALTH INSURANCE COVERAGE,Oregon,"1,965,462","±5,886","1,965,462",(X),2021
            Employed:,HEALTH INSURANCE COVERAGE,Oregon,"1,860,522","±5,959","1,860,522",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Oregon,"1,693,382","±7,351",91.0%,±0.2,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Oregon,"1,503,823","±8,061",80.8%,±0.3,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Oregon,"254,101","±4,289",13.7%,±0.2,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Oregon,"167,140","±4,325",9.0%,±0.2,2021
            Unemployed:,HEALTH INSURANCE COVERAGE,Oregon,"104,940","±2,757","104,940",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Oregon,"85,877","±2,175",81.8%,±1.0,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Oregon,"42,528","±1,596",40.5%,±1.3,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Oregon,"47,974","±1,849",45.7%,±1.4,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Oregon,"19,063","±1,317",18.2%,±1.0,2021
        Not in labor force:,HEALTH INSURANCE COVERAGE,Oregon,"543,682","±5,620","543,682",(X),2021
            With health insurance coverage,HEALTH INSURANCE COVERAGE,Oregon,"488,114","±5,161",89.8%,±0.4,2021
                With private health insurance,HEALTH INSURANCE COVERAGE,Oregon,"275,660","±4,495",50.7%,±0.7,2021
                With public coverage,HEALTH INSURANCE COVERAGE,Oregon,"256,854","±4,605",47.2%,±0.7,2021
            No health insurance coverage,HEALTH INSURANCE COVERAGE,Oregon,"55,568","±2,208",10.2%,±0.4,2021
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Header,Oregon,,,,,2021
